,STATION,NumEs,UpTime,Lines
77409,STEINWAY ST,,,
193173,STERLING ST,,,
85064,SUTPHIN BLVD,,,
106069,SUTPHIN-ARCHER,6,94.77,E/J/Z
34356,SUTTER AV,,,
191573,SUTTER AV-RUTLD,,,
116144,THIRTY ST,,,
117718,THIRTY THIRD ST,,,
2614,TIMES SQ-42 ST,9,82.15,N/Q/R/S/W/1/2/3/7
197080,TOMPKINSVILLE,,,
70968,TREMONT AV,,,
115783,TWENTY THIRD ST,,,
21013,UNION ST,,,
62571,UTICA AV,,,
142157,V.CORTLANDT PK,,,
38230,VAN SICLEN AV,,,
64025,VAN SICLEN AVE,,,
174598,VERNON-JACKSON,,,
53879,W 4 ST-WASH SQ,2,87.36,A/B/C/D/E/F/M
29036,W 8 ST-AQUARIUM,1,92.83,F/Q
168991,WAKEFIELD/241,,,
123848,WALL ST,2,100,2/3
166768,WEST FARMS SQ,1,93.05,2/5
173171,WESTCHESTER SQ,,,
10402,WHITEHALL S-FRY,,,
171117,WHITLOCK AV,,,
33894,WILSON AV,,,
193299,WINTHROP ST,,,
39205,WOODHAVEN BLVD,,,
162524,WOODLAWN,,,
56842,WORLD TRADE CTR,,,
1114384,WTC-CORTLANDT,1,97.59,1
98949,YORK ST,,,
172919,ZEREGA AV,,,
